latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
-11.57021,-52.56475,338,0.42,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,293.49,2.27,N
-11.56992,-52.556,345.94,0.42,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,294.11,9.8,N
-11.56985,-52.5451,343.72,0.42,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,294.99,5.14,N
-11.56959,-52.56856,324.08,0.42,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,293.33,2.27,N
-11.56923,-52.54891,357.03,0.42,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,298.28,21.8,N
-11.56866,-52.56361,324.99,0.42,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,293.52,4.05,N
-11.56861,-52.55272,354.19,0.42,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,296.62,21.8,N
-11.56763,-52.53689,307.22,0.41,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,293.15,0.99,N
-11.56702,-52.5407,335.65,0.42,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,293.94,10.74,N
-11.56676,-52.56416,307.75,0.42,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,293.11,2.27,N
-11.5664,-52.54451,350.74,0.42,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,298.45,10.74,N
-11.56578,-52.54832,320.51,0.42,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,293.4,12.89,N
-11.56517,-52.55212,325.64,0.42,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,293.33,12.89,N
-11.56357,-52.54012,320.22,0.42,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,293.68,10.74,N
-11.56331,-52.56357,309.76,0.42,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,292.8,1.59,N
-11.56295,-52.54392,316.69,0.42,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,293.83,10.74,N
-11.56234,-52.54773,353.89,0.42,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,298.59,12.89,N
-11.56172,-52.55154,344.76,0.42,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,294.74,12.89,N
-11.5611,-52.55535,310.73,0.42,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,293,1.9,N
-11.56013,-52.53954,344.28,0.42,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,296.51,18.91,N
-11.55951,-52.54334,353.55,0.42,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,300.35,18.91,N
-11.55889,-52.54715,351.47,0.42,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,295.47,5.74,N
-11.55827,-52.55096,310.2,0.42,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,293.12,5.74,N
-11.55766,-52.55477,315.22,0.42,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,293.1,1.96,N
-11.55668,-52.53896,321.19,0.42,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,292.88,18.91,N
-11.55606,-52.54276,345.92,0.42,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,297.42,18.91,N
-11.55494,-45.25355,315.57,0.4,0.44,2023-04-30,442,N,VIIRS,n,2.0NRT,290.26,1.5,N
-11.55442,-45.25724,327.68,0.4,0.44,2023-04-30,442,N,VIIRS,n,2.0NRT,290.21,1.99,N
