datetime;bateria;nivel;dist
2023-10-31 05:57:11;97;3;143
2023-10-31 05:58:11;97;3;143
2023-10-31 05:59:12;97;2;144
2023-10-31 06:00:12;97;2;144
2023-10-31 06:01:12;97;3;143
2023-10-31 06:02:13;97;2;144
2023-10-31 06:03:13;97;3;143
2023-10-31 06:04:13;97;3;143
2023-10-31 06:05:09;97;4;142
2023-10-31 06:06:14;97;3;143
2023-10-31 06:07:09;97;4;142
2023-10-31 06:08:15;97;3;143
2023-10-31 06:09:10;97;4;142
2023-10-31 06:10:10;97;4;142
2023-10-31 06:11:11;97;4;142
2023-10-31 06:12:11;97;4;142
2023-10-31 06:13:12;97;3;143
2023-10-31 06:14:12;97;3;143
2023-10-31 06:15:12;97;3;143
2023-10-31 06:16:13;97;3;143
2023-10-31 06:17:13;97;3;143
2023-10-31 06:18:14;97;3;143
2023-10-31 06:19:09;97;3;143
2023-10-31 06:20:14;97;3;143
2023-10-31 06:21:09;97;3;143
2023-10-31 06:22:10;97;3;143
2023-10-31 06:23:10;97;3;143
2023-10-31 06:24:11;97;3;143
2023-10-31 06:25:11;97;3;143
2023-10-31 06:26:11;97;2;144
2023-10-31 06:27:12;97;2;144
2023-10-31 06:28:12;97;3;143
2023-10-31 06:29:12;97;3;143
2023-10-31 06:30:13;97;3;143
2023-10-31 06:31:13;97;3;143
2023-10-31 06:32:14;97;2;144
2023-10-31 06:33:09;97;1;145
2023-10-31 06:34:14;97;0;146
2023-10-31 06:35:09;97;2;144
2023-10-31 06:36:15;97;1;145
2023-10-31 06:37:10;97;1;145
2023-10-31 06:38:10;97;1;145
2023-10-31 06:39:11;97;0;146
2023-10-31 06:40:11;97;1;145
2023-10-31 06:41:12;97;0;146
2023-10-31 06:42:12;97;1;145
2023-10-31 06:43:12;97;1;145
2023-10-31 06:44:13;97;1;145
2023-10-31 06:45:13;97;1;145
2023-10-31 06:46:13;97;1;145
2023-10-31 06:47:14;97;1;145
2023-10-31 06:48:09;97;1;145
2023-10-31 06:49:14;97;1;145
2023-10-31 06:50:10;97;0;146
2023-10-31 06:51:10;97;0;146
2023-10-31 06:52:10;97;1;145
2023-10-31 06:53:11;97;1;145
2023-10-31 06:54:11;97;0;146
2023-10-31 06:55:11;97;0;146
2023-10-31 06:56:12;97;1;145
2023-10-31 06:57:12;97;1;145
2023-10-31 06:58:12;97;1;145
2023-10-31 06:59:13;97;2;144
2023-10-31 07:00:13;97;0;146
2023-10-31 07:01:13;97;2;144
2023-10-31 07:02:09;97;1;145
2023-10-31 07:03:14;97;0;146
2023-10-31 07:04:09;97;1;145
2023-10-31 07:05:15;97;1;145
2023-10-31 07:06:10;97;0;146
2023-10-31 07:07:10;97;1;145
2023-10-31 07:08:11;97;1;145
2023-10-31 07:09:11;97;2;144
2023-10-31 07:10:11;97;2;144
2023-10-31 07:11:12;97;2;144
2023-10-31 07:12:12;97;2;144
2023-10-31 07:13:12;97;2;144
2023-10-31 07:14:13;97;1;145
2023-10-31 07:15:13;97;0;146
2023-10-31 07:16:14;97;1;145
2023-10-31 07:17:09;97;1;145
2023-10-31 07:18:14;97;2;144
2023-10-31 07:19:09;97;2;144
2023-10-31 07:20:15;97;1;145
2023-10-31 07:21:10;97;0;146
2023-10-31 07:22:10;97;0;146
2023-10-31 07:23:11;97;1;145
2023-10-31 07:24:11;97;1;145
2023-10-31 07:25:12;97;1;145
2023-10-31 07:26:12;97;1;145
2023-10-31 07:27:12;97;1;145
2023-10-31 07:28:13;97;1;145
2023-10-31 07:29:13;97;1;145
2023-10-31 07:30:13;97;1;145
2023-10-31 07:31:14;97;1;145
2023-10-31 07:32:09;97;1;145
2023-10-31 07:33:14;97;1;145
2023-10-31 07:34:09;97;2;144
2023-10-31 07:35:10;97;2;144
2023-10-31 07:36:10;97;1;145
2023-10-31 07:37:11;97;2;144
2023-10-31 07:38:11;97;2;144
2023-10-31 07:39:11;97;1;145
2023-10-31 07:40:12;97;2;144
2023-10-31 07:41:12;97;1;145
2023-10-31 07:42:12;97;1;145
2023-10-31 07:43:13;97;2;144
2023-10-31 07:44:13;97;1;145
2023-10-31 07:45:13;97;1;145
2023-10-31 07:46:09;97;1;145
2023-10-31 07:47:14;97;1;145
2023-10-31 07:48:09;97;1;145
2023-10-31 07:49:15;97;2;144
2023-10-31 07:50:10;97;1;145
2023-10-31 07:51:10;97;1;145
2023-10-31 07:52:11;97;2;144
2023-10-31 07:53:11;97;1;145
2023-10-31 07:54:12;97;2;144
2023-10-31 07:55:12;97;2;144
2023-10-31 07:56:12;97;2;144
2023-10-31 07:57:13;97;1;145
2023-10-31 07:58:13;97;2;144
2023-10-31 07:59:13;97;2;144
2023-10-31 08:00:14;97;2;144
2023-10-31 08:01:09;97;1;145
2023-10-31 08:02:15;97;2;144
2023-10-31 08:03:10;97;1;145
2023-10-31 08:04:10;97;1;145
2023-10-31 08:05:10;97;0;146
2023-10-31 08:06:11;97;1;145
2023-10-31 08:07:11;97;1;145
2023-10-31 08:08:11;97;1;145
2023-10-31 08:09:12;97;1;145
2023-10-31 08:10:12;97;1;145
2023-10-31 08:11:13;97;1;145
2023-10-31 08:12:13;97;1;145
2023-10-31 08:13:13;97;0;146
2023-10-31 08:14:14;97;1;145
2023-10-31 08:15:09;97;1;145
2023-10-31 08:16:14;97;1;145
2023-10-31 08:17:10;97;1;145
2023-10-31 08:18:10;97;1;145
2023-10-31 08:19:10;97;1;145
2023-10-31 08:20:11;97;2;144
2023-10-31 08:21:11;97;0;146
2023-10-31 08:22:11;97;1;145
2023-10-31 08:23:12;97;1;145
2023-10-31 08:24:12;97;2;144
2023-10-31 08:25:13;97;2;144
2023-10-31 08:26:13;97;2;144
2023-10-31 08:27:13;97;1;145
2023-10-31 08:28:14;97;2;144
2023-10-31 08:29:09;97;1;145
2023-10-31 08:30:14;97;1;145
2023-10-31 08:31:10;97;1;145
2023-10-31 08:32:10;97;1;145
2023-10-31 08:33:10;97;1;145
2023-10-31 08:34:11;97;1;145
2023-10-31 08:35:11;97;0;146
2023-10-31 08:36:11;97;2;144
2023-10-31 08:37:12;97;1;145
2023-10-31 08:38:12;97;2;144
2023-10-31 08:39:13;97;1;145
2023-10-31 08:40:13;97;1;145
2023-10-31 08:41:13;97;1;145
2023-10-31 08:42:14;97;2;144
2023-10-31 08:43:09;97;2;144
2023-10-31 08:44:14;97;0;146
2023-10-31 08:45:10;97;0;146
