datetime;cangilones;mm;mm15min
2023-04-17 16:02:55;0.0;0.0;0.0
2023-04-17 16:32:55;0.0;0.0;0.0
2023-04-17 17:02:54;0.0;0.0;0.0
2023-04-17 17:32:49;0.0;0.0;0.0
2023-04-17 18:02:46;0.0;0.0;0.0
2023-04-17 18:32:45;0.0;0.0;0.0
2023-04-17 19:02:47;0.0;0.0;0.0
2023-04-17 19:32:43;0.0;0.0;0.0
2023-04-17 20:02:44;0.0;0.0;0.0
2023-04-17 20:32:43;0.0;0.0;0.0
2023-04-17 21:02:42;0.0;0.0;0.0
2023-04-17 21:32:40;0.0;0.0;0.0
2023-04-17 22:02:43;0.0;0.0;0.0
2023-04-17 22:32:41;0.0;0.0;0.0
2023-04-17 23:02:44;0.0;0.0;0.0
2023-04-17 23:32:42;0.0;0.0;0.0
2023-04-18 00:02:40;0.0;0.0;0.0
2023-04-18 00:32:44;0.0;0.0;0.0
2023-04-18 01:02:43;0.0;0.0;0.0
2023-04-18 01:32:43;0.0;0.0;0.0
2023-04-18 02:02:43;0.0;0.0;0.0
2023-04-18 02:32:43;0.0;0.0;0.0
2023-04-18 03:02:43;0.0;0.0;0.0
2023-04-18 03:32:42;0.0;0.0;0.0
2023-04-18 04:02:40;0.0;0.0;0.0
2023-04-18 04:32:43;0.0;0.0;0.0
2023-04-18 05:02:40;0.0;0.0;0.0
2023-04-18 05:32:42;0.0;0.0;0.0
2023-04-18 06:02:38;0.0;0.0;0.0
2023-04-18 06:32:39;0.0;0.0;0.0
2023-04-18 07:02:39;0.0;0.0;0.0
2023-04-18 07:32:40;0.0;0.0;0.0
2023-04-18 08:02:40;0.0;0.0;0.0
2023-04-18 08:32:43;0.0;0.0;0.0
2023-04-18 09:02:46;0.0;0.0;0.0
2023-04-18 09:32:47;0.0;0.0;0.0
2023-04-18 10:02:48;0.0;0.0;0.0
2023-04-18 10:32:51;0.0;0.0;0.0
2023-04-18 11:02:50;0.0;0.0;0.0
2023-04-18 11:30:47;0.0;0.0;0.0
2023-04-18 12:03:05;0.0;0.0;0.0
2023-04-18 12:32:53;0.0;0.0;0.0
2023-04-18 13:02:55;0.0;0.0;0.0
2023-04-18 13:32:53;0.0;0.0;0.0
2023-04-18 14:02:56;0.0;0.0;0.0
2023-04-18 14:32:55;0.0;0.0;0.0
2023-04-18 15:02:54;0.0;0.0;0.0
2023-04-18 15:32:54;0.0;0.0;0.0
2023-04-18 16:02:52;0.0;0.0;0.0
2023-04-18 16:32:53;0.0;0.0;0.0
2023-04-18 17:02:53;0.0;0.0;0.0
2023-04-18 17:32:52;0.0;0.0;0.0
2023-04-18 18:02:49;0.0;0.0;0.0
2023-04-18 18:32:49;0.0;0.0;0.0
2023-04-18 19:02:47;0.0;0.0;0.0
2023-04-18 19:32:45;0.0;0.0;0.0
2023-04-18 20:02:46;0.0;0.0;0.0
2023-04-18 20:32:43;0.0;0.0;0.0
2023-04-18 21:02:42;0.0;0.0;0.0
2023-04-18 21:32:40;0.0;0.0;0.0
2023-04-18 22:02:42;0.0;0.0;0.0
2023-04-18 22:32:39;0.0;0.0;0.0
2023-04-18 23:02:40;0.0;0.0;0.0
2023-04-18 23:32:41;0.0;0.0;0.0
2023-04-19 00:02:42;0.0;0.0;0.0
2023-04-19 00:32:38;0.0;0.0;0.0
2023-04-19 01:02:40;0.0;0.0;0.0
2023-04-19 01:32:42;0.0;0.0;0.0
2023-04-19 02:02:40;0.0;0.0;0.0
2023-04-19 02:32:42;0.0;0.0;0.0
2023-04-19 03:02:41;0.0;0.0;0.0
2023-04-19 03:32:43;0.0;0.0;0.0
2023-04-19 04:02:42;0.0;0.0;0.0
2023-04-19 04:32:40;0.0;0.0;0.0
2023-04-19 05:02:43;0.0;0.0;0.0
2023-04-19 05:32:42;0.0;0.0;0.0
2023-04-19 06:02:40;0.0;0.0;0.0
2023-04-19 06:32:43;0.0;0.0;0.0
2023-04-19 07:02:40;0.0;0.0;0.0
2023-04-19 07:32:41;0.0;0.0;0.0
2023-04-19 08:02:42;0.0;0.0;0.0
2023-04-19 08:32:42;0.0;0.0;0.0
2023-04-19 09:02:45;0.0;0.0;0.0
2023-04-19 09:32:49;0.0;0.0;0.0
2023-04-19 10:02:47;0.0;0.0;0.0
2023-04-19 10:32:51;0.0;0.0;0.0
2023-04-19 11:02:52;0.0;0.0;0.0
2023-04-19 11:32:53;0.0;0.0;0.0
2023-04-19 12:02:56;0.0;0.0;0.0
2023-04-19 12:32:54;0.0;0.0;0.0
2023-04-19 13:02:53;0.0;0.0;0.0
2023-04-19 13:32:56;0.0;0.0;0.0
2023-04-19 14:02:55;0.0;0.0;0.0
2023-04-19 14:32:55;0.0;0.0;0.0
2023-04-19 15:02:54;0.0;0.0;0.0
2023-04-19 15:32:53;0.0;0.0;0.0
2023-04-19 16:02:56;0.0;0.0;0.0
2023-04-19 16:32:55;0.0;0.0;0.0
2023-04-19 17:02:52;0.0;0.0;0.0
2023-04-19 17:32:52;0.0;0.0;0.0
2023-04-19 18:02:50;0.0;0.0;0.0
2023-04-19 18:32:46;0.0;0.0;0.0
2023-04-19 19:02:46;0.0;0.0;0.0
2023-04-19 19:32:45;0.0;0.0;0.0
2023-04-19 20:02:47;0.0;0.0;0.0
2023-04-19 20:32:44;0.0;0.0;0.0
2023-04-19 21:02:45;0.0;0.0;0.0
2023-04-19 21:32:41;0.0;0.0;0.0
2023-04-19 22:02:41;0.0;0.0;0.0
2023-04-19 22:32:45;0.0;0.0;0.0
2023-04-19 23:02:43;0.0;0.0;0.0
2023-04-19 23:32:40;0.0;0.0;0.0
2023-04-20 00:02:42;0.0;0.0;0.0
2023-04-20 00:32:39;0.0;0.0;0.0
2023-04-20 01:02:40;0.0;0.0;0.0
2023-04-20 01:32:40;0.0;0.0;0.0
2023-04-20 02:02:41;0.0;0.0;0.0
2023-04-20 02:32:41;0.0;0.0;0.0
2023-04-20 03:02:41;0.0;0.0;0.0
2023-04-20 03:32:41;0.0;0.0;0.0
2023-04-20 04:02:41;0.0;0.0;0.0
2023-04-20 04:32:40;0.0;0.0;0.0
2023-04-20 05:02:39;0.0;0.0;0.0
2023-04-20 05:32:38;0.0;0.0;0.0
2023-04-20 06:02:37;0.0;0.0;0.0
2023-04-20 06:32:40;0.0;0.0;0.0
2023-04-20 07:02:38;0.0;0.0;0.0
2023-04-20 07:32:37;0.0;0.0;0.0
2023-04-20 08:02:41;0.0;0.0;0.0
2023-04-20 08:32:44;0.0;0.0;0.0
2023-04-20 09:02:48;0.0;0.0;0.0
2023-04-20 09:32:52;0.0;0.0;0.0
2023-04-20 10:02:54;0.0;0.0;0.0
2023-04-20 10:32:52;0.0;0.0;0.0
2023-04-20 11:02:56;0.0;0.0;0.0
2023-04-20 11:32:54;0.0;0.0;0.0
2023-04-20 12:02:54;0.0;0.0;0.0
2023-04-20 12:32:54;0.0;0.0;0.0
2023-04-20 13:02:54;0.0;0.0;0.0
2023-04-20 13:32:55;0.0;0.0;0.0
2023-04-20 14:02:56;0.0;0.0;0.0
2023-04-20 14:32:58;0.0;0.0;0.0
2023-04-20 15:02:56;0.0;0.0;0.0
2023-04-20 15:32:59;0.0;0.0;0.0
2023-04-20 16:02:56;0.0;0.0;0.0
2023-04-20 16:32:56;0.0;0.0;0.0
2023-04-20 17:02:53;0.0;0.0;0.0
2023-04-20 17:32:53;0.0;0.0;0.0
2023-04-20 18:02:49;0.0;0.0;0.0
2023-04-20 18:32:48;0.0;0.0;0.0
2023-04-20 19:02:47;0.0;0.0;0.0
2023-04-20 19:32:44;0.0;0.0;0.0
2023-04-20 20:02:45;0.0;0.0;0.0
2023-04-20 20:32:46;0.0;0.0;0.0
2023-04-20 21:02:42;0.0;0.0;0.0
2023-04-20 21:32:42;0.0;0.0;0.0
2023-04-20 22:02:42;0.0;0.0;0.0
2023-04-20 22:32:42;0.0;0.0;0.0
2023-04-20 23:02:41;0.0;0.0;0.0
2023-04-20 23:32:45;0.0;0.0;0.0
2023-04-21 00:02:43;0.0;0.0;0.0
2023-04-21 00:32:41;0.0;0.0;0.0
2023-04-21 01:02:43;0.0;0.0;0.0
2023-04-21 01:32:40;0.0;0.0;0.0
2023-04-21 02:02:41;0.0;0.0;0.0
2023-04-21 02:32:39;0.0;0.0;0.0
2023-04-21 03:02:40;0.0;0.0;0.0
2023-04-21 03:32:42;0.0;0.0;0.0
2023-04-21 04:02:39;0.0;0.0;0.0
2023-04-21 04:32:40;0.0;0.0;0.0
2023-04-21 05:02:41;0.0;0.0;0.0
2023-04-21 05:32:43;0.0;0.0;0.0
2023-04-21 06:02:40;0.0;0.0;0.0
2023-04-21 06:32:41;0.0;0.0;0.0
2023-04-21 07:02:42;0.0;0.0;0.0
2023-04-21 07:32:38;0.0;0.0;0.0
2023-04-21 08:02:39;0.0;0.0;0.0
2023-04-21 08:32:43;0.0;0.0;0.0
2023-04-21 09:02:45;0.0;0.0;0.0
2023-04-21 09:32:50;0.0;0.0;0.0
2023-04-21 10:02:47;0.0;0.0;0.0
2023-04-21 10:32:51;0.0;0.0;0.0
2023-04-21 11:02:52;0.0;0.0;0.0
2023-04-21 11:32:53;0.0;0.0;0.0
2023-04-21 12:02:54;0.0;0.0;0.0
2023-04-21 12:32:51;0.0;0.0;0.0
2023-04-21 13:02:52;0.0;0.0;0.0
2023-04-21 13:32:55;0.0;0.0;0.0
2023-04-21 14:02:51;0.0;0.0;0.0
2023-04-21 14:32:53;0.0;0.0;0.0
2023-04-21 15:02:55;0.0;0.0;0.0
2023-04-21 15:32:55;0.0;0.0;0.0
2023-04-21 16:02:54;0.0;0.0;0.0
2023-04-21 16:32:52;0.0;0.0;0.0
2023-04-21 17:02:52;0.0;0.0;0.0
2023-04-21 17:32:52;0.0;0.0;0.0
2023-04-21 18:02:48;0.0;0.0;0.0
2023-04-21 18:32:48;0.0;0.0;0.0
2023-04-21 19:02:46;0.0;0.0;0.0
2023-04-21 19:32:44;0.0;0.0;0.0
2023-04-21 20:02:45;0.0;0.0;0.0
2023-04-21 20:32:46;0.0;0.0;0.0
