datetime;voltaje;distancia
2022-12-27 08:30:06;3.93;243.0
2022-12-27 08:31:05;3.93;243.0
2022-12-27 08:32:08;3.93;243.0
2022-12-27 08:33:07;3.93;243.0
2022-12-27 08:34:05;3.93;243.0
2022-12-27 08:35:09;3.93;243.0
2022-12-27 08:36:07;3.93;243.0
2022-12-27 08:37:06;3.93;243.0
2022-12-27 08:38:05;3.93;243.0
2022-12-27 08:39:08;3.93;243.0
2022-12-27 08:40:07;3.93;243.0
2022-12-27 08:41:05;3.93;243.0
2022-12-27 08:42:09;3.93;243.0
2022-12-27 08:43:07;3.93;243.0
2022-12-27 08:44:06;3.93;243.0
2022-12-27 08:45:05;3.93;243.0
2022-12-27 08:46:08;3.93;243.0
2022-12-27 08:47:07;3.93;243.0
2022-12-27 08:48:06;3.93;243.0
2022-12-27 08:49:04;3.93;243.0
2022-12-27 08:50:08;3.93;243.0
2022-12-27 08:51:06;3.94;243.0
2022-12-27 08:52:05;3.94;243.0
2022-12-27 08:53:08;3.94;243.0
2022-12-27 08:54:07;3.94;243.0
2022-12-27 08:55:06;3.94;243.0
2022-12-27 08:56:04;3.95;243.0
2022-12-27 08:57:08;3.95;243.0
2022-12-27 08:58:07;3.95;243.0
2022-12-27 08:59:05;3.96;243.0
2022-12-27 09:00:09;3.96;243.0
2022-12-27 09:01:07;3.95;243.0
2022-12-27 09:02:06;3.95;243.0
2022-12-27 09:03:05;3.95;243.0
2022-12-27 09:04:08;3.95;244.0
2022-12-27 09:05:07;3.95;244.0
2022-12-27 09:06:06;3.95;244.0
2022-12-27 09:07:05;3.95;243.0
2022-12-27 09:08:08;3.95;243.0
2022-12-27 09:09:07;3.95;243.0
2022-12-27 09:10:06;3.95;243.0
2022-12-27 09:11:04;3.95;243.0
2022-12-27 09:12:08;3.95;243.0
2022-12-27 09:13:07;3.96;243.0
2022-12-27 09:14:05;3.95;243.0
2022-12-27 09:15:09;3.95;243.0
2022-12-27 09:16:08;3.95;243.0
2022-12-27 09:17:06;3.96;243.0
2022-12-27 09:18:05;3.96;243.0
2022-12-27 09:19:09;3.96;243.0
2022-12-27 09:20:07;3.96;243.0
2022-12-27 09:21:06;3.96;243.0
2022-12-27 09:22:05;3.96;243.0
2022-12-27 09:23:09;3.95;243.0
2022-12-27 09:24:07;3.95;243.0
2022-12-27 09:25:06;3.96;243.0
2022-12-27 09:26:05;3.95;243.0
2022-12-27 09:27:09;3.96;243.0
2022-12-27 09:28:07;3.96;243.0
2022-12-27 09:29:06;3.96;243.0
2022-12-27 09:30:05;3.96;243.0
2022-12-27 09:31:09;3.96;243.0
2022-12-27 09:32:07;3.96;243.0
2022-12-27 09:33:06;3.96;243.0
2022-12-27 09:34:05;3.96;243.0
2022-12-27 09:35:09;3.96;243.0
2022-12-27 09:36:07;3.96;243.0
2022-12-27 09:37:06;3.96;243.0
2022-12-27 09:38:05;3.96;243.0
2022-12-27 09:39:09;3.96;243.0
2022-12-27 09:40:07;3.95;243.0
2022-12-27 09:41:06;3.96;243.0
2022-12-27 09:42:05;3.96;243.0
2022-12-27 09:43:09;3.96;243.0
2022-12-27 09:44:07;3.96;243.0
2022-12-27 09:45:06;3.96;243.0
2022-12-27 09:46:05;3.96;243.0
2022-12-27 09:47:09;3.96;243.0
2022-12-27 09:48:07;3.96;243.0
2022-12-27 09:49:06;3.96;243.0
2022-12-27 09:50:05;3.96;243.0
2022-12-27 09:51:09;3.96;243.0
2022-12-27 09:52:07;3.96;243.0
2022-12-27 09:53:06;3.96;243.0
2022-12-27 09:54:05;3.96;243.0
2022-12-27 09:55:09;3.96;243.0
2022-12-27 09:56:07;3.96;243.0
2022-12-27 09:57:06;3.96;243.0
2022-12-27 09:58:05;3.96;243.0
2022-12-27 09:59:09;3.96;243.0
2022-12-27 10:00:07;3.96;243.0
2022-12-27 10:01:06;3.96;243.0
2022-12-27 10:02:05;3.96;243.0
2022-12-27 10:03:09;3.96;243.0
2022-12-27 10:04:07;3.96;243.0
2022-12-27 10:05:06;3.96;243.0
2022-12-27 10:06:05;3.96;243.0
2022-12-27 10:07:09;3.96;243.0
2022-12-27 10:08:07;3.96;243.0
2022-12-27 10:09:06;3.96;243.0
2022-12-27 10:10:05;3.96;243.0
2022-12-27 10:11:09;3.96;243.0
2022-12-27 10:12:08;3.96;243.0
2022-12-27 10:13:06;3.96;243.0
2022-12-27 10:14:05;3.96;243.0
2022-12-27 10:15:09;3.96;243.0
